"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.jammu_and_kashmir"	"Jammu and Kashmir"	222236
"http://rdf.freebase.com/ns/en.jammu"	"Jammu"	222200
"http://rdf.freebase.com/ns/en.petrified_forest_national_park"	"Petrified Forest National Park"	221552
"http://rdf.freebase.com/ns/en.interior_mountains"	"Interior Mountains"	221310
"http://rdf.freebase.com/ns/en.korean_peninsula"	"Korean Peninsula"	220847
"http://rdf.freebase.com/ns/en.hafun"	"Hafun"	220847
"http://rdf.freebase.com/ns/en.utah"	"Utah"	219887
"http://rdf.freebase.com/ns/en.korea"	"Korea"	219140
"http://rdf.freebase.com/ns/en.victoria_island"	"Victoria Island"	217291
"http://rdf.freebase.com/ns/en.idaho"	"Idaho"	216632
"http://rdf.freebase.com/ns/en.guyana"	"Guyana"	214970
"http://rdf.freebase.com/ns/en.aegean_sea"	"Aegean Sea"	214000
"http://rdf.freebase.com/ns/en.kansas"	"Kansas"	213096
"http://rdf.freebase.com/ns/en.flint_hills"	"Flint Hills"	212380
"http://rdf.freebase.com/ns/en.matruh"	"Matrouh Governorate"	212112
"http://rdf.freebase.com/ns/en.xilin_gol_league"	"Xilingol League"	211866
"http://rdf.freebase.com/ns/en.french_alps"	"French Alps"	210000
"http://rdf.freebase.com/ns/en.las_vicunas_national_reserve"	"Las Vicuñas National Reserve"	209131
"http://rdf.freebase.com/ns/en.belarus"	"Belarus"	207600
"http://rdf.freebase.com/ns/en.greater_antilles"	"Greater Antilles"	207435
"http://rdf.freebase.com/ns/en.punjab"	"Punjab, Pakistan"	205344
"http://rdf.freebase.com/ns/en.rio_negro_province"	"Río Negro Province"	203013
"http://rdf.freebase.com/ns/en.nebraska"	"Nebraska"	200520
"http://rdf.freebase.com/ns/en.nullarbor_plain"	"Nullarbor Plain"	200000
"http://rdf.freebase.com/ns/en.republic_of_lakotah"	"Republic of Lakotah"	200000
"http://rdf.freebase.com/ns/en.south_dakota"	"South Dakota"	199905
"http://rdf.freebase.com/ns/en.kyrgyzstan"	"Kyrgyzstan"	199900
"http://rdf.freebase.com/ns/en.parana"	"Paraná"	199314.9
"http://rdf.freebase.com/ns/en.ruoqiang_county"	"Ruoqiang County"	198318
"http://rdf.freebase.com/ns/en.senegal"	"Senegal"	196723
"http://rdf.freebase.com/ns/en.ellesmere_island"	"Ellesmere Island"	196235
"http://rdf.freebase.com/ns/en.gujarat"	"Gujarat"	196024
"http://rdf.freebase.com/ns/en.sverdlovsk_oblast"	"Sverdlovsk Oblast"	194800
"http://rdf.freebase.com/ns/en.jefferson_memorial"	"Thomas Jefferson Memorial"	192436
"http://rdf.freebase.com/ns/en.karnataka"	"Karnataka"	191791
"http://rdf.freebase.com/ns/en.cangallo_province"	"Cangallo Province"	191617
"http://rdf.freebase.com/ns/en.jiuquan"	"Jiuquan"	191342
"http://rdf.freebase.com/ns/en.carpathian_mountains"	"Carpathian Mountains"	190000
"http://rdf.freebase.com/ns/en.central_anatolia_region_turkey"	"Central Anatolia Region"	188586
"http://rdf.freebase.com/ns/en.barrocas"	"Barrocas"	188105
"http://rdf.freebase.com/ns/en.syria"	"Syria"	185180
"http://rdf.freebase.com/ns/en.washington"	"Washington"	184827
"http://rdf.freebase.com/ns/en.tanami_desert"	"Tanami Desert"	184500
"http://rdf.freebase.com/ns/en.north_dakota"	"North Dakota"	183272
"http://rdf.freebase.com/ns/en.laurentian_mountains"	"Laurentian Mountains"	182700
"http://rdf.freebase.com/ns/en.rift_valley_province_kenya"	"Rift Valley Province"	182413
"http://rdf.freebase.com/ns/en.massif_central"	"Massif Central"	182040
"http://rdf.freebase.com/ns/en.oklahoma"	"Oklahoma"	181195
